ALIGNMNT,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,C_M_ZONE,DAY,DAY_WEEK,DRUNK_DR,FATALS,FUNC_SYS,HARM_EV,HIT_RUN,HOSP_HR,HOSP_MN,HOUR,LATITUDE,LGT_COND,LONGITUD,MAN_COLL,MILEPT,MINUTE,MONTH,NHS,NOT_HOUR,NOT_MIN,NO_LANES,PAVE_TYP,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PROFILE,PVH_INVL,RAIL,RD_OWNER,RELJCT1,RELJCT2,REL_JUNC,REL_ROAD,ROAD_FNC,ROUTE,RUR_URB,SCH_BUS,SP_JUR,SP_LIMIT,STATE,ST_CASE,SUR_COND,TRAF_FLO,TRA_CONT,TWAY_ID,TWAY_ID2,TYP_INT,T_CONT_F,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER2,WRK_ZONE,YEAR,latitude,longitud
,14,50,0,0,0,0,97,,14,4,0,1,5.0,42,,99,99,14,30.50592778,1,-88.2339,0,0.0,40,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,4,,4,2.0,0,0,,1,10017,,,,CR-IRVINGTON BAYOU LABATRE HWY,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,19,35,0,0,0,0,1,,16,6,1,1,5.0,42,,99,99,19,32.52434444,2,-86.6721,0,0.0,15,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,2.0,0.0,1.0,,4,,4,1.0,0,0,,1,10018,,,,CR-40,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,88,88,0,0,0,0,121,,19,2,0,1,6.0,1,,88,88,1,33.22930833,2,-86.2693,0,0.0,0,1,0,88,88,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,1,,4,1.0,0,0,,1,10019,,,,CR-ODENA ROAD N,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,17,18,0,0,0,2910,121,,15,5,0,1,5.0,12,,99,99,17,33.46581111,2,-86.05,6,0.0,10,1,0,99,99,,,0,3.0,0.0,3,,0.0,0000000,4.0,0.0,2.0,,1,,6,1.0,0,0,,1,10020,,,,EASTABOGA RD,HWY 275,2.0,,2,2.0,2,2.0,0.0,0.0,2015,,
,14,5,27,0,0,0,115,,23,6,0,1,1.0,12,,99,99,13,33.56601667,1,-86.521,1,1446.0,48,1,1,99,99,,,0,4.0,0.0,4,,0.0,0000000,1.0,0.0,1.0,,1,,1,1.0,0,0,,1,10021,,,,I-20,,1.0,,2,2.0,2,2.0,0.0,0.0,2015,,
,6,30,0,0,0,0,127,,26,2,0,1,2.0,52,,99,99,6,33.84021944,2,-87.3316,0,585.0,15,1,1,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,3,,1,1.0,0,0,,1,10022,,,,I-22,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,21,25,0,0,0,0,11,,12,2,1,1,4.0,42,,88,88,21,32.21718333,2,-85.9188,0,210.0,20,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,3,1.0,0,0,,1,10023,,,,SR-110,,1.0,,1,1.0,5,5.0,0.0,0.0,2015,,
,6,25,0,0,0,0,5,,2,6,0,1,7.0,42,,99,99,6,31.83945278,4,-85.2207,0,0.0,0,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,5,,4,1.0,0,0,,1,10024,,,,CR-32,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,88,88,0,0,0,0,125,,15,5,1,2,5.0,18,,88,88,3,33.08890556,2,-87.6746,0,0.0,5,1,0,88,88,,,0,2.0,0.0,2,,0.0,0000000,2.0,0.0,1.0,,4,,4,1.0,0,0,,1,10025,,,,CR-HOLLEY SPRINGS LANE,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,13,42,0,0,0,2052,73,,13,3,0,1,4.0,33,,88,88,13,33.46460556,1,-86.9417,0,0.0,33,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,4.0,0.0,3.0,,4,,6,2.0,0,0,,1,10026,,,,ALLISON-BONNETT MEMORIAL DR,FAIRFIELD BLVD,3.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,14,47,0,0,0,2890,3,,17,7,0,1,4.0,12,,99,99,14,30.47271111,1,-87.6663,6,0.0,42,1,0,99,99,,,0,3.0,0.0,3,,0.0,0000000,2.0,0.0,2.0,,1,,4,2.0,0,0,,1,10027,,,,CR-BALDWIN BEACH EXPRESS,CR-32,2.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,0,40,0,0,0,2540,1,,10,7,1,1,4.0,1,,88,88,0,32.43066389,2,-86.5179,0,0.0,31,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,4.0,0.0,1.0,,4,,3,2.0,0,0,,1,10028,,,,SR-14,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,5,52,0,0,0,0,69,,23,6,0,1,3.0,59,,88,88,5,31.16130833,2,-85.1906,0,2228.0,40,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,3.0,,4,,2,1.0,0,0,,1,10029,,,,US-SR 12,THOMPSON RD,3.0,,1,1.0,2,2.0,0.0,0.0,2015,,
,13,35,0,0,0,0,21,,24,7,0,5,4.0,12,,88,88,13,32.78083333,1,-86.4702,2,784.0,15,1,0,99,99,,,0,5.0,0.0,5,,0.0,0000000,1.0,0.0,1.0,,1,,3,1.0,0,0,,1,10030,,,,SR-22,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,16,51,0,0,0,0,93,,24,7,0,1,6.0,8,,99,99,16,33.92139167,5,-87.8673,0,0.0,38,1,0,99,99,,,1,1.0,1.0,1,,0.0,0000000,2.0,0.0,2.0,,1,,4,1.0,0,0,,1,10031,,,,CR-69,ATKINSON RD,3.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,6,30,0,0,0,0,15,,25,1,1,1,7.0,34,,88,88,6,33.74095278,4,-85.8829,0,0.0,20,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,4,,4,2.0,0,0,,1,10032,,,,CR-ALEXANDRIA WELLINGTON HWY,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,21,28,0,0,0,60,123,,23,6,1,2,6.0,42,,88,88,21,32.87644722,3,-85.8776,0,0.0,22,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,4.0,0.0,1.0,,4,,6,1.0,0,0,,1,10033,,,,CR-40,,1.0,,1,1.0,2,2.0,0.0,0.0,2015,,
,14,36,0,0,0,860,3,,15,5,1,1,4.0,12,,99,99,14,30.65515556,1,-87.9071,1,448.0,27,1,0,99,99,,,0,10.0,0.0,10,,0.0,0000000,1.0,0.0,3.0,,1,,2,2.0,0,0,,1,10034,,,,US-SR 16,JUBILEE PKWY,2.0,,6,6.0,10,10.0,0.0,0.0,2015,,
,9,30,0,0,0,20,73,,28,4,0,1,3.0,12,,99,99,9,33.58196667,1,-86.9223,6,1410.0,25,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,2.0,,1,,2,1.0,0,0,,1,10035,,,,US-SR 5,HACKWORTH RD,2.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,14,41,0,0,0,0,97,,19,2,0,2,3.0,12,,99,99,14,30.85440833,1,-88.1938,6,142.0,25,1,0,99,99,,,0,5.0,0.0,5,,0.0,0000000,1.0,0.0,1.0,,1,,2,1.0,0,0,,1,10036,,,,US-SR 17,,1.0,,2,2.0,1,1.0,0.0,0.0,2015,,
,14,59,0,0,0,0,3,,26,2,0,1,7.0,42,,99,99,14,30.73176944,1,-87.7845,0,0.0,40,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,5,,4,1.0,0,0,,1,10037,,,,CR-OAK LN,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,16,55,0,0,0,2100,97,,27,3,0,1,7.0,38,,99,99,16,30.612125,1,-88.0776,0,0.0,50,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,4.0,0.0,1.0,,6,,6,2.0,0,0,,1,10038,,,,GULFDALE DR,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,0,55,0,0,0,0,97,,29,5,1,1,3.0,34,,88,88,0,30.55205833,2,-88.1048,0,12.0,50,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,3,2.0,0,0,,1,10039,,,,SR-HAMILTON BLVD,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,16,1,0,0,0,350,73,,20,3,0,1,3.0,8,,99,99,15,33.43090833,1,-86.7123,0,0.0,57,1,0,99,99,,,1,1.0,1.0,1,,0.0,0000000,4.0,0.0,1.0,,1,,6,2.0,0,0,,1,10040,,,,CAHABA RIVER ROAD,,1.0,,1,1.0,1,1.0,0.0,1.0,2015,,
,21,30,0,0,0,0,49,,28,4,1,1,7.0,18,,99,99,21,34.37793333,2,-85.7558,0,0.0,10,1,0,99,99,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,1,,4,1.0,0,0,,1,10041,,,,CR-130,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,19,5,0,0,0,0,125,,31,7,0,1,3.0,8,,88,88,18,33.10606944,2,-87.4671,0,593.0,45,1,1,99,99,,,1,2.0,1.0,2,,0.0,0000000,1.0,0.0,3.0,,1,,2,1.0,0,0,,1,10042,,,,US-SR 6,DALLIE DR,3.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,88,88,0,0,0,0,49,,2,2,0,1,5.0,19,,88,88,3,34.51033611,2,-85.7605,0,0.0,20,2,0,88,88,,,0,1.0,0.0,1,,0.0,0000000,2.0,0.0,1.0,,5,,4,1.0,0,0,,1,10043,,,,CR-27,,1.0,,1,1.0,10,10.0,0.0,0.0,2015,,
,3,14,0,0,0,1716,73,,31,7,0,1,1.0,52,,99,99,3,33.39817778,3,-86.7777,0,0.0,10,1,1,99,99,,,0,2.0,0.0,2,,0.0,0000000,1.0,0.0,1.0,,3,,1,2.0,0,0,,1,10044,,,,I-459,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,8,36,0,0,0,2100,97,,31,7,0,1,1.0,59,,8,47,8,30.62482222,1,-88.1247,0,200.0,19,1,1,8,28,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,1,2.0,0,0,,1,10045,,,,I-10,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,2,24,0,0,0,1830,17,,8,1,0,1,1.0,42,,99,99,2,32.84681944,6,-85.1869,0,790.0,15,2,1,99,99,,,0,1.0,0.0,1,,0.0,0000000,1.0,0.0,1.0,,4,,1,2.0,0,0,,1,10046,,,,I-85,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
,0,11,0,0,0,2100,97,,22,5,1,1,5.0,19,,99,99,0,30.66823611,2,-88.0544,0,0.0,7,1,0,99,99,,,0,2.0,0.0,2,,0.0,0000000,4.0,0.0,1.0,,5,,6,2.0,0,0,,1,10047,,,,S WASHINGTON AVE,,1.0,,1,1.0,1,1.0,0.0,0.0,2015,,
